description,location,price_naira,bedrooms,bathrooms,city,house_type,building_age
3 Bedroom Apartment,Bluewaters Lekki Phase 1 Lekki Lagos,24000000.0,3.0,3.0,Lekki,flat & apartment,Old
Fully Furnished/ Fully Detached 4 Bedroom Duplex,Orchid Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Detached Duplex,Allen Avenue Ikeja Lagos,25000000.0,4.0,4.0,Ikeja,duplex,Old
Furnished Studio Apartment,Lekki Phase 1 Lekki Lagos,3000000.0,2.0,1.0,Lekki,flat & apartment,Old
Studio Apartment,Grace Court In Royal Prime Estate Lekki Phase 2 Lekki Lagos,2500000.0,1.0,1.0,Lekki,flat & apartment,Old
Serviced 4 Bedroom Semi Detached Duplex With Bq,Orchid Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
Shared Apartment,Agungi Lekki Lagos,1300000.0,2.0,1.0,Lekki,flat & apartment,Old
Mini Flat,Agungi Lekki Lagos,2300000.0,1.0,1.0,Lekki,flat & apartment,Old
1 Bedroom Flat,Agungi Lekki Lagos,2400000.0,1.0,1.0,Lekki,flat & apartment,Old
4 Bedroom Duplex,Ogunlana Surulere Lagos,10000000.0,4.0,4.0,Surulere,duplex,Old
Newly Built 2 Bedroom Flat,Agungi Lekki Lagos,3700000.0,2.0,2.0,Lekki,flat & apartment,New
Furnished Mini Flat,Lekki Phase 1 Lekki Lagos,6000000.0,1.0,1.0,Lekki,flat & apartment,Old
Fully Furnished 2 Bedroom Flat,Gbangbala Ikate Lekki Lagos,13000000.0,2.0,2.0,Lekki,flat & apartment,Old
5 Bedroom Detached Duplex,Megamond Estate Ikota Lekki Lagos,35000000.0,5.0,5.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex With Bq,Osapa London Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
Fully Furnished 3 Bedroom Apartment With Pool,Off Admiralty Way Lekki Phase 1 Lekki Lagos,25000000.0,3.0,3.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos,20000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
Newly Built 3 Bedroom Terrace Duplex,Agungi Lekki Lagos,7000000.0,3.0,3.0,Lekki,duplex,New
Newly Built 2 Bedroom Flat,Osapa London Lekki Lagos,6500000.0,2.0,2.0,Lekki,flat & apartment,New
2 Bedroom Flat,Ikate Lekki Lagos,4000000.0,2.0,2.0,Lekki,flat & apartment,Old
Furnished Room Self Contain,Lekki Phase 1 Lekki Lagos,2600000.0,1.0,1.0,Lekki,self-contain,Old
3 Bedroom Apartment,"Chevy View Estate, Off Chevron Drive Chevron Lekki Lagos",6500000.0,3.0,3.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Agungi Lekki Lagos,7000000.0,2.0,2.0,Lekki,flat & apartment,Old
Newly Built 4 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos,20000000.0,4.0,4.0,Lekki,duplex,New
2 Bedroom Flat With 3 Balconies,Ikate Lekki Lagos,18000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Detached Duplex,Royal Pine Estate Orchid Lekki Lagos,15000000.0,4.0,4.0,Lekki,duplex,Old
2 Bedroom Apartment,Ilasan Lekki Lagos,10000000.0,2.0,2.0,Lekki,flat & apartment,Old
Master Bedroom,Chevron Lekki Lagos,2500000.0,,1.0,Lekki,,Old
Very Specious Service Furnished Shared Apartment,Idado Lekki Lagos,2300000.0,2.0,1.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,Ikate Lekki Lagos,14000000.0,3.0,3.0,Lekki,flat & apartment,Old
Mini Flat,Osapa London Lekki Lagos,3000000.0,1.0,1.0,Lekki,flat & apartment,Old
2 Bedroom Apartment With A Bq,Ikate Lekki Lagos,12000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,Parkview Estate Ikoyi Lagos,20000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment,Eko Atlantic Victoria Island Lagos,35000000.0,2.0,2.0,Victoria Island,flat & apartment,Old
5 Bedroom Semi Detached Duplex With Bq,Lekki Phase 1 Lekki Lagos,25000000.0,5.0,5.0,Lekki,duplex,Old
2 Bedroom Apartment,Periwinkle Estate Lekki Phase 1 Lekki Lagos,20000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Orchid Lekki Lagos,6000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,"Conservative, Orchid Lekki Lagos",6500000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Flat,Okotie Ebouh Road Falomo Ikoyi Lagos,35000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
1 Bedroom Apartment,Ikoyi Lagos,10000000.0,1.0,1.0,Ikoyi,flat & apartment,Old
5 Bedroom Semi Detached Duplex With Bq,Lekki Phase 1 Lekki Lagos,40000000.0,5.0,5.0,Lekki,duplex,Old
2 Bedroom Apartment,Banana Island Ikoyi Lagos,20000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment,Oniru Victoria Island Lagos,15000000.0,3.0,3.0,Victoria Island,flat & apartment,Old
Furnished 2 Bedroom Luxury Apartment,Old Ikoyi Ikoyi Lagos,40000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment,Ilasan Lekki Lagos,7000000.0,2.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Ikoyi Lagos,27000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
Furnished 4 Bedroom Semi Detached Duplex,Megamond Estate Ikota Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Newly Built 2 Bedroom Apartment,Close Oregun Ikeja Lagos,3000000.0,2.0,3.0,Ikeja,flat & apartment,New
2 Bed Apartment + Bq • Old Ikoyi •,Old Ikoyi Ikoyi Lagos,40000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
2 Bedroom Flat,Ikate Lekki Lagos,7000000.0,2.0,2.0,Lekki,flat & apartment,Old
Serviced 2 Bedroom Apartment,Ikate Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,Old
Furnished 2 Bedroom Apartment,Ikate Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,Old
Newly Built 3 Bedroom Apartment,Ikate Lekki Lagos,10000000.0,3.0,3.0,Lekki,flat & apartment,New
4 Bedroom Terrace Duplex,"Off Ahmadu Bello Way, Victoria Island Ahmadu Bello Way Victoria Island Lagos",27000000.0,4.0,5.0,Victoria Island,duplex,Old
Newly Built 4 Bedroom Terrace Duplex,Off Awolowo Road Ikoyi Ikoyi S.w Ikoyi Lagos,35000000.0,4.0,5.0,Ikoyi,duplex,New
2 Bedroom Flat,"Horizon Ii Estate, Ikate,vi. Lagos. Ikate Lekki Lagos",8500000.0,2.0,4.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Happy Land Estate Sangotedo Ajah Lagos,7000000.0,4.0,5.0,Ajah,duplex,Old
4 Bedroom Semi Detached Duplex House,Ikoyi Lagos State Old Ikoyi Ikoyi Lagos,25000000.0,4.0,5.0,Ikoyi,duplex,Old
3 Bedroom Apartment,"Alpha Beach New Road, Chevron Lekki Lagos Chevron Lekki Lagos",9500000.0,3.0,4.0,Lekki,flat & apartment,Old
Mini Flat,Off Ligali Ayorinde Victoria Island Lagos Ligali Ayorinde Victoria Island Lagos,6000000.0,1.0,2.0,Victoria Island,flat & apartment,Old
5 Bedroom Detached House,Vi Off Ligali Ayorinde. Ligali Ayorinde Victoria Island Lagos,50000000.0,5.0,6.0,Victoria Island,,Old
"Newly Built 3bedrooms, 2bedroom & 1bedroom",Off Awolowo Road Ikoyi S.w Ikoyi Lagos,25000000.0,3.0,4.0,Ikoyi,,New
Furnished 5 Bedroom Detached Duplex With Bq,"Megamound Estate, Ikota Lekki Ikota Lekki Lagos",35000000.0,5.0,6.0,Lekki,duplex,Old
2 Bedroom Massionatte,Old Ikoyi Lagos State Old Ikoyi Ikoyi Lagos,25000000.0,2.0,3.0,Ikoyi,,Old
4 Bedroom Semi Duplex,"Parkview Estate, Ikoyi. Parkview Estate Ikoyi Lagos",40000000.0,4.0,5.0,Ikoyi,duplex,Old
3 Bedroom Flat,"Chevy View, Chevron Lekki Lagos State Chevron Lekki Lagos",6500000.0,3.0,4.0,Lekki,flat & apartment,Old
1 Bedroom Apartment,Banana Island Estate Ikoyi Lagos. Banana Island Ikoyi Lagos,12000000.0,1.0,2.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment,Ikate Lekki Lagos State Ikate Lekki Lagos,8000000.0,2.0,3.0,Lekki,flat & apartment,Old
6 Bedroom Detached Duplex,Lekki Phase 1 Marwa Bustop Left Side Lekki Lagos. Lekki Phase 1 Lekki Lagos,30000000.0,6.0,7.0,Lekki,duplex,Old
Newly Built 3 Bedroom Apartment,Lekki Phase One Lagos State Lekki Phase 1 Lekki Lagos,35000000.0,3.0,4.0,Lekki,flat & apartment,New
4 Bedroom Terraced Duplex,Osapa London Lekki Lagos Osapa London Lekki Lagos,7000000.0,4.0,5.0,Lekki,duplex,Old
1 Bedroom Apartment,Lekki Phase 1 Rhs Lagos State Lekki Phase 1 Lekki Lagos,7000000.0,1.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Flat,"Horizon1 Estate, Ikate Lekki Lagos. Ikate Lekki Lagos",7000000.0,3.0,4.0,Lekki,flat & apartment,Old
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,30000000.0,3.0,4.0,Lekki,flat & apartment,Old
2 Bedroom Flat,Chevron Drive Lekki Lagos State Chevron Lekki Lagos,4000000.0,2.0,3.0,Lekki,flat & apartment,Old
Superbly Finished 5 Bedroom Detached House With Bq,"Carlton Gate, Lekki Chevron Lekki Lagos",30000000.0,5.0,6.0,Lekki,,Old
Serviced Luxury 1 Bedroom( Room & Parlor) Apartment,"Atlantic Ville Estate Harris Drive, Ikota Lekki Lagos",4500000.0,1.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Lekki Phase 1 Lagos State Lekki Phase 1 Lekki Lagos,12000000.0,2.0,3.0,Lekki,flat & apartment,Old
3 Bedroom Flat,"Chevy View, Chevron Drive Lekki Lagos Chevron Lekki Lagos",6500000.0,3.0,4.0,Lekki,flat & apartment,Old
3 Bedroom Flat,Lekki Phase One Lagos State Lekki Phase 1 Lekki Lagos,15000000.0,3.0,4.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Ikate Chisco Bustop Enyo Side Lekki Lagos Ikate Lekki Lagos,8000000.0,2.0,3.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,"Adeyemi Lawson Street Bourdilon Road, Lkoyi. Old Ikoyi Ikoyi Lagos",30000000.0,3.0,4.0,Ikoyi,flat & apartment,Old
3 Bedroom Flat,Ilasan Salem Busstop Lekki Lagos State Ilasan Lekki Lagos,7000000.0,3.0,4.0,Lekki,flat & apartment,Old
3 Bedroom Flat,Off Freedom Way. Lekki Phase 1 Lagos State Lekki Phase 1 Lekki Lagos,8000000.0,3.0,4.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Ikate Elegushi Lekki Lagos. Ikate Lekki Lagos,12000000.0,4.0,5.0,Lekki,duplex,Old
3 Bedroom Maisonnette,1004 Estate Victoria Island Lagos 1004 Victoria Island Lagos,12000000.0,3.0,4.0,Victoria Island,,Old
Serviced 1 Bedroom (room & Parlor) Apartment,Ikate Chisco Bustop Enyo Side Lekki Ikate Lekki Lagos,4000000.0,1.0,2.0,Lekki,flat & apartment,Old
5 Bedroom Detached Duplex,Chisco Bustop Conoil Station Off Kusenla Road Ikate Lekki Lagos. Ikate Lekki Lagos,25000000.0,5.0,6.0,Lekki,duplex,Old
2 Bedroom Apartment,"Off Ajose Adeogun, Vi Victoria Island Extension Victoria Island Lagos",9000000.0,2.0,3.0,Victoria Island,flat & apartment,Old
3 Bedroom Terrace Duplex,Ikate Elegushi Lekki Lagos. Ikate Lekki Lagos,10000000.0,3.0,4.0,Lekki,duplex,Old
5 Bedroom Semi Detached House,Lekki Phase 1 (a Series) Lekki Phase 1 Lekki Lagos,40000000.0,5.0,6.0,Lekki,,Old
5 Bedrooms Bedroom Detached House With 2rooms Bq,Lekki Phase 1 Lagos State Lekki Phase 1 Lekki Lagos,35000000.0,5.0,6.0,Lekki,,Old
Brand New 4 Bedroom Semi Detached Duplex With Bq,Chevron Drive Chevron Lekki Lagos,14000000.0,4.0,5.0,Lekki,duplex,New
Luxury 1 Bedroom Apartment,Agungi Lekki Lagos,5000000.0,1.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,Bourdillon Ikoyi Lagos,30000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
4 Bedroom Semi Detached Duplex (separate Compound),"Canal West Estate, Off Castle Rock Avenue , Osapa London Osapa London Lekki Lagos",10000000.0,4.0,5.0,Lekki,duplex,Old
3 Bedroom Apartment,"Off Ahmadu Bello Way, Victoria Island Ahmadu Bello Way Victoria Island Lagos",30000000.0,3.0,4.0,Victoria Island,flat & apartment,Old
3 Bedroom Apartment,"Oniru, Victoria Island Oniru Victoria Island Lagos",25000000.0,3.0,4.0,Victoria Island,flat & apartment,Old
3 Bedroom Flat,Oba Adeyinka Oyekan Ave Ikoyi Old Ikoyi Ikoyi Lagos,12000000.0,3.0,4.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment With Bq,"City Of Davids,oniru Victoria Island. Oniru Victoria Island Lagos",20000000.0,3.0,4.0,Victoria Island,flat & apartment,Old
2 Bedroom Apartment,Lekki Phase 1 Lagos State Lekki Phase 1 Lekki Lagos,15000000.0,2.0,3.0,Lekki,flat & apartment,Old
3 Bedroom Terrace Duplex,Badore Ajah Lagos State Badore Ajah Lagos,5000000.0,3.0,4.0,Ajah,duplex,Old
Newly Built 3 Ensuite Bedrooms Flat,"Femi Pearse Street, Off Adeola Odekun, Victoria Island. Adeola Odeku Victoria Island Lagos",25000000.0,3.0,4.0,Victoria Island,flat & apartment,New
5 Bedroom Detached Duplex,Lekki Phase 1 Off Hakeem Dickson Lagos Lekki Phase 1 Lekki Lagos,30000000.0,5.0,6.0,Lekki,duplex,Old
3 Bedroom Apartment,Lekki Phase 1 Lagos State Lekki Phase 1 Lekki Lagos,18000000.0,3.0,4.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex With A Room Bq,"Off Ahmadu Bello Way, Victoria Island Ahmadu Bello Way Victoria Island Lagos",27000000.0,4.0,5.0,Victoria Island,duplex,Old
6 Units Of 3 Bedroom Apartment,Ologolo Lekki Lagos State Ologolo Lekki Lagos,7000000.0,3.0,4.0,Lekki,flat & apartment,Old
Newly Built 3 Bedroom Flat,Lekki Phase 1 Lagos Lekki Phase 1 Lekki Lagos,18000000.0,3.0,4.0,Lekki,flat & apartment,New
3 Bedroom Furnished Apartments With Bq,"Water Corporation Drive, Oniru Victoria Island Lagos",30000000.0,3.0,4.0,Victoria Island,flat & apartment,Old
4 Bedroom Terrace Duplex,Banana Island Estate Ikoyi Lagos. Banana Island Ikoyi Lagos,45000000.0,4.0,5.0,Ikoyi,duplex,Old
2 Bedroom Apartment,Eleganza Garden Lekki Lagos State Along Lekki Expressway Lekki Lagos,4000000.0,2.0,3.0,Lekki,flat & apartment,Old
5 Bedroom Semi Detached House,Lekki Phase 1 Rhs Lagos State Lekki Phase 1 Lekki Lagos,30000000.0,5.0,6.0,Lekki,,Old
1 Bedroom Apartment,Old Ikoyi Lagos State Old Ikoyi Ikoyi Lagos,10000000.0,1.0,2.0,Ikoyi,flat & apartment,Old
3 Bedroom Terrace Duplex +bq,Ologolo Lekki Lagos State Ologolo Lekki Lagos,7000000.0,3.0,4.0,Lekki,duplex,Old
4 Bedroom Semi Detached Houses With A Room Bq,Lekki Right Hand Side Lagos State Lekki Phase 1 Lekki Lagos,20000000.0,4.0,5.0,Lekki,,Old
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,30000000.0,3.0,4.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,"Ikota Gra, Lekki Lagos Ikota Lekki Lagos",7000000.0,4.0,5.0,Lekki,duplex,Old
3 Bedroom Flat,Banana Island Estate Ikoyi Lagos. Banana Island Ikoyi Lagos,45000000.0,3.0,4.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment,"Alhaji Obitayo Street, Agungi East Estate, Lekki, Lagos. Agungi Lekki Lagos",6000000.0,3.0,4.0,Lekki,flat & apartment,Old
3 Bedroom Maisonette,Lekki Phase 1 Lagos State Lekki Phase 1 Lekki Lagos,25000000.0,3.0,4.0,Lekki,maisonette,Old
3 Bedroom Duplex,"Oniru, Victoria Island, Lagos Oniru Victoria Island Lagos",25000000.0,3.0,4.0,Victoria Island,duplex,Old
Serviced 3 Bedroom Flat With A Room Bq,Lekki Phase 1 Lagos State Lekki Phase 1 Lekki Lagos,10000000.0,3.0,4.0,Lekki,flat & apartment,Old
Luxury 2 Bedroom Apartment,Agungi Lekki Lagos,6500000.0,2.0,3.0,Lekki,flat & apartment,Old
Well Serviced And Partly Furnished 3 Bedroom Flat,Mende Maryland Lagos State Mende Maryland Lagos,5000000.0,3.0,4.0,Maryland,flat & apartment,Old
4 Bedroom Terrace Duplex,An Estate On Platinum Road By Femi Okunnu Ikate. Ikate Lekki Lagos,8500000.0,4.0,5.0,Lekki,duplex,Old
5 Bedroom Semi Detached House,Lekki Phase 1 Right Hand Side Lekki Phase 1 Lekki Lagos,30000000.0,5.0,6.0,Lekki,,Old
Self Service Coner Piece 4 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,18000000.0,4.0,5.0,Lekki,duplex,Old
2 Bedroom Massionatte,Nike Art Gallery Ikate Lekki Lagos. Ikate Lekki Lagos,7000000.0,2.0,3.0,Lekki,,Old
Furnished 4 Bedroom Semi Detached Duplex With Bq,Ikate Lekki Lagos,18000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Semi Detached Duplex With Bq,Ikota Lekki Lagos,7000000.0,4.0,4.0,Lekki,duplex,Old
3 Bedroom Apartment,"Oral Estate Extension, Lekki Lagos",7000000.0,3.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex With Bq,Ikate Lekki Lagos,15000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,Happy Land Estate Sangotedo Ajah Lagos,7000000.0,4.0,5.0,Ajah,duplex,Old
10 Units Of Terrace Apartments,Lekki Phase 1 Lekki Lagos,30000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos,13000000.0,3.0,4.0,Lekki,duplex,Old
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,14000000.0,3.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,10000000.0,3.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Fully Detached Duplex,Orchid Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,30000000.0,4.0,3.0,Lekki,maisonette,Old
2 Bedroom Apartment,Ikate Lekki Lagos,14000000.0,2.0,2.0,Lekki,flat & apartment,Old
Studio Apartment,Orchid Lekki Lagos,1500000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Apartment With Bq,Lekki Lagos,18000000.0,3.0,2.0,Lekki,flat & apartment,Old
5 Bedroom Detached Duplex With Bq,Chevron Lekki Lagos,15000000.0,5.0,4.0,Lekki,duplex,Old
2 Bedroom Apartment,Ikate Lekki Lagos,10000000.0,2.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Ahmadiyyah Ojokoro Abule Egba Lagos,1500000.0,2.0,3.0,Egba,flat & apartment,Old
2 Bedroom Flat,"Beckley Estate, New Oko Oba Abule Egba Lagos",3000000.0,2.0,3.0,Egba,flat & apartment,Old
3 Bedroom Flat,Puposola Street New Oko Oba Abule Egba Lagos,2000000.0,3.0,4.0,Egba,flat & apartment,Old
2 Bedroom Apartment,Ahamidiyah New Oko Oba Abule Egba Lagos,1800000.0,2.0,3.0,Egba,flat & apartment,Old
Beautifull And Specious 2 Bedroom Flat,"Olaniyi Road ,abuleegba, Lagos State , Nigeria . New Oko Oba Abule Egba Lagos",2200000.0,2.0,3.0,Egba,flat & apartment,Old
3 Bedroom Apartment,"Kayfarm Estate , Obawole, Ifako Agege Lagos",3000000.0,3.0,4.0,Agege,flat & apartment,Old
New Built Miniflat,"Aderupoko, Ahamidiyah, New Oko Oba Abule Egba Lagos",1000000.0,1.0,2.0,Egba,flat & apartment,Old
4 Bedroom Flat,Banana Island Banana Island Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
3 Bedroom Flat,"Green Park Estate Inside Alexandra Estate, Oko Oba Road Agege Lagos",3000000.0,3.0,4.0,Agege,flat & apartment,Old
Mini Flat,Abule Egba Abule Egba Lagos,900000.0,1.0,2.0,Egba,flat & apartment,Old
2 Bedroom Flat,"Kayfarm Estate, A Z William Street, Ifako Agege Lagos",2500000.0,2.0,3.0,Agege,flat & apartment,Old
Newly Built 2 Bedroom Flat,Jibowu New Oko Oba Abule Egba Lagos,2500000.0,2.0,3.0,Egba,flat & apartment,New
3 Bedroom Flat,"Aremu Lawal, Funsho Owoyemi, New Oko Oba Abule Egba Lagos",2000000.0,3.0,4.0,Egba,flat & apartment,Old
3 Bedroom Flat,"Odetunde, Puposola, Lagos New Oko Oba Abule Egba Lagos",1500000.0,3.0,4.0,Egba,flat & apartment,Old
A Very Beautiful 3 Bedroom Flat,Da Silva Estate New Oko Oba Abule Egba Lagos,3000000.0,3.0,4.0,Egba,flat & apartment,Old
2 Bedroom Flat,Joke Ayo/merit Ojokoro Abule Egba Lagos,1500000.0,2.0,3.0,Egba,flat & apartment,Old
Shared Appartment,Oral Estate Lekki Lagos,2300000.0,1.0,1.0,Lekki,,Old
Studio Mini Flat,New Road Igbo Efon Lekki Lagos,4200000.0,1.0,1.0,Lekki,flat & apartment,Old
Shared Apartment,Oral Estate Extension Lekki Lagos,1000000.0,1.0,1.0,Lekki,flat & apartment,Old
Mini Flat,New Road Igbo Efon Lekki Lagos,4500000.0,1.0,1.0,Lekki,flat & apartment,Old
Studio Apartment,Oral Estate Lekki Lagos,1400000.0,1.0,1.0,Lekki,flat & apartment,Old
1 Bedroom Flat,Oral Estate Lekki Lagos,1700000.0,1.0,1.0,Lekki,flat & apartment,Old
Studio Self Contained,Alpha Beach Igbo Efon Lekki Lagos,900000.0,1.0,1.0,Lekki,self-contain,Old
Studio Apartment,Chevron Alternative Chevron Lekki Lagos,3000000.0,1.0,1.0,Lekki,flat & apartment,Old
Mini Flat,Oral Estate Lekki Lagos,700000.0,1.0,1.0,Lekki,flat & apartment,Old
2 Bedroom Flat,New Road Alpha Beach Igbo Efon Lekki Lagos,3000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Apartment With Bq,Banana Island Ikoyi Lagos,45000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
Studio Self Contain,New Road Igbo Efon Lekki Lagos,2400000.0,1.0,1.0,Lekki,self-contain,Old
Shared Appartment,Orchid Lekki Lagos,1200000.0,1.0,1.0,Lekki,,Old
Shared Apartment,Phonix Orchid Lekki Lagos,1500000.0,1.0,1.0,Lekki,flat & apartment,Old
Room Self Contained,Alpha Beach Igbo Efon Lekki Lagos,500000.0,1.0,1.0,Lekki,self-contain,Old
Master Bedroom In A Shared Apartment,Oral Estate Lekki Lagos,1600000.0,1.0,1.0,Lekki,flat & apartment,Old
3 Bedroom Flat,New Road Alpha Beach Igbo Efon Lekki Lagos,3000000.0,3.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Terraced Duplex,Blessings Estate Amuwo Amuwo Odofin Amuwo Odofin Lagos,6000000.0,4.0,5.0,Amuwo Odofin,duplex,Old
Newly Built 1 Bedroom Apartment,"Sinari Daranijo, Ligali Ayorinde Victoria Island Lagos",150000.0,1.0,1.0,Victoria Island,flat & apartment,New
Brand New 2 Bedroom Flat,6th Ave Festac Amuwo Odofin Lagos,3000000.0,2.0,3.0,Amuwo Odofin,flat & apartment,New
Newly Built 5 Bedroom Duplex,Ikate Lekki Lagos,20000000.0,5.0,5.0,Lekki,duplex,New
5 Bedroom Duplex With A Bq,Ikoyi Lagos,45000000.0,5.0,5.0,Ikoyi,duplex,Old
Newly Built 2 Bedroom Serviced Apartment,Agungi Lekki Lagos,6500000.0,2.0,2.0,Lekki,flat & apartment,New
2 Bedroom Flat,"Off Muftau Adeyemi Street, Orelope B/stop, Egbeda Alimosho Lagos",1400000.0,2.0,2.0,Alimosho,flat & apartment,Old
Newly Built 2 Bedroom Flat,Ekoro Meiran Abule Egba Abule Egba Lagos,2000000.0,2.0,2.0,Egba,flat & apartment,New
"2bedroom Flat Beckley Zone 2 Estate, Abule Egb",Beckley Estate Abule Egba New Oko Oba Abule Egba Lagos,3200000.0,2.0,2.0,Egba,flat & apartment,Old
Renovated 3 Bedroom Apartment,Ago Palace Okota Lagos,4000000.0,3.0,3.0,Okota,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Ago Palace Okota Lagos,3500000.0,2.0,3.0,Okota,flat & apartment,New
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,30000000.0,3.0,4.0,Lekki,flat & apartment,Old
Mini Flat,Ago Palace Okota Lagos,2000000.0,1.0,2.0,Okota,flat & apartment,Old
Renovated 3 Bedroom Apartment,Ago Palace Okota Lagos,3500000.0,3.0,4.0,Okota,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Ago Palace Okota Lagos,3500000.0,2.0,3.0,Okota,flat & apartment,New
Newly Built 3bedroom Flat,Egbeda Egbeda Alimosho Lagos,2000000.0,3.0,4.0,Alimosho,flat & apartment,New
Newly Built Mini Flat,Ago Palace Okota Lagos,2500000.0,1.0,2.0,Okota,flat & apartment,New
Newly Built Mini Flat,Amuwo Odofin Lagos,2500000.0,1.0,2.0,Amuwo Odofin,flat & apartment,New
Lovely Renovated 2bedroom Flat,Mosan Ipaja Ipaja Lagos,1100000.0,2.0,2.0,Iyana Ipaja,flat & apartment,Old
Newly Built 2bedroom Flat,Egbeda Egbeda Alimosho Lagos,1500000.0,2.0,3.0,Alimosho,flat & apartment,New
Renovated 3 Bedroom Apartment,Ago Palace Okota Lagos,3500000.0,3.0,3.0,Okota,flat & apartment,Old
Newly Built 3 Bedroom Apartment,Ago Palace Okota Lagos,4500000.0,3.0,4.0,Okota,flat & apartment,New
Renovated 3 Bedroom Apartment,Ago Palace Okota Lagos,3000000.0,3.0,4.0,Okota,flat & apartment,Old
Renovated 3 Bedroom Apartment,Ago Palace Okota Lagos,3500000.0,3.0,4.0,Okota,flat & apartment,Old
Brand Newly Built 3 Bedroom Apartment,Amuwo Odofin Amuwo Odofin Lagos,4500000.0,3.0,4.0,Amuwo Odofin,flat & apartment,New
Furnished 3 Bedroom Apartment,Bluewater Apartment Oniru Victoria Island Lagos,6000000.0,3.0,3.0,Victoria Island,flat & apartment,Old
Newly Built 4 Bedroom Duplex In A Serene Estate,Behold Mini Court Orchid Lekki Lagos,7000000.0,4.0,4.0,Lekki,duplex,New
Newly Built Mini Flat For Rent,Alpha Beach Rd Chevron Lekki Lagos,4200000.0,1.0,1.0,Lekki,flat & apartment,New
4 Bedroom Duplex In Ocean Habor Orchid Rd,Ocean Habor Orchid Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
3bedroom Duplex Available For Rent,Orchid Lekki Lagos,7000000.0,3.0,3.0,Lekki,duplex,Old
